PROJECT_NM,PRJCT_TYPE,CLOSR_IND,CLOSR_DT,CLOSR_TYPE,SITE_LOC,ST_DESC,LATITUDE,LONGITUDE
SPIRIT LAKE,SIT - Recreation Site,N,,,SKIDEGATE,A pleasant hike around Spirit Lake popular with joggers and dog walkers.,53.258211,-132.009492
OOTSA LANDING,SIT - Recreation Site,N,,,BURNS LAKE,A scenic 3 unit camping area rests alongside the large lake which is part of the man-made Nechako Reservoir.  The site has a great beach where it is possible to hand launch small boats and canoes.  Please note that the lake is subject to strong winds.,53.81457,-126.067801
EIGHT MILE FLATS,SIT - Recreation Site,N,,,GRAND FORKS,A small campsite on the west side of the Granby River.,49.454468,-118.539475
TAKATOOT LAKE,SIT - Recreation Site,N,,,FORT ST. JAMES,Small site with rough cartop boatlaunch. Access is slippery when wet.,55.100825,-125.233159
FAWN CREEK RECREATION TRAILS,RTR - Recreation Trail,N,,,INTERLAKES AREA (HIGHWAY 24),The Fawn Creek Recreation Trails offer approximately 19 km of maintained recreation trails the majority of which follow old non-status roads.  The trails are a popular destination for horseback riding hiking and snowmobiling.,51.59286,-121.051612
NICKLEN LAKE WEST,SIT - Recreation Site,N,,,LAVINGTON,This site is on a medium sized fishing lake. Water levels fluctuate significantly. There is good access to this site. Car top boat launch.,50.135951,-119.010644
Salisbury Hiking Trail,RTR - Recreation Trail,N,,,KASLO,This moderately difficult hike is 3.8 KM one way from the trailhead to the alpine meadow on the ridge. There are a few alternate routes about halfway up the trail one of which leads you up to the peak of Mt. Willet. There are great views of Kootenay Lake looking to the South and the Purcell Wilderness Conservancy looking to the East.,50.124491,-116.873031
Mackenzie Basin Loop,RTR - Recreation Trail,N,,,PEMBERTON,,50.335805,-122.796225
CHINA RIDGE TRAILS,RTR - Recreation Trail,N,,,PRINCETON,"The China Ridge Trails are a series of popular cross-country ski snowshoe and biking trails located just outside of Princeton BC.  In summer the trails are also used for mountain biking and hiking. Motorized use of ATV's and motorbikes is strongly discouraged to protect the integrity of the trails soils and wildflowers.The trails are managed through a partnership with the China Ridge Trails Society formerly the China Ridge Cross-country Ski Association (CRCCSA).The area features 40 km of trails (20 km groomed; 20 km untracked for the backcountry ski enthusiast). Portions of the trails follow old roads or skid trails through open timber across natural grassy slopes and through a variety of forested terrain. Skiers usually experience clear sunny days dry snow conditions and outstanding vistas to the valley below. There are three shelters on the trails where one may enjoy an outdoor campfire and there is an emergency warming hut about ten kilometres from the trailhead. While the terrain is undulating most of the trails would be considered beginner to intermediate. For lots more information about what is happening at the China Ridge trails visit the China Ridge Trails Website:www.chinaridgetrails.com",49.505407,-120.618278
TOP LAKE SOUTH,SIT - Recreation Site,N,,,VANDERHOOF,A two unit site on a small roadside lake where the Klukus-Ootsa Forest Road goes through a low pass in the Fawnie Range. Watch for logging traffic when pulling out.,53.23263,-125.024011
LITTLE HORSESHOE NORTH,SIT - Recreation Site,N,,,POWELL RIVER,An overnight spot on the Powell Forest Canoe Route.  The start of the portage from Little Horseshoe Lake to Beaver Lake.,49.931988,-124.276615
Lost Marbles,RTR - Recreation Trail,N,,,CLINTON,"Lost Marbles is a downhill mountain bike trail that originates in the open alpine near the Jesmond Fire Lookout tower and takes riders down through Douglas-fir forest to the access road at the bottom of the mountain near Big Bar Guest Ranch. The trail difficulty rating for this trail is considered black diamond meaning it is a very difficult trail that should only be attempted by riders who are experienced and comfortable with riding trails of this difficulty level.   Lost Marbles is a scenic ridge-line trail on top with many optional rock drop features and steep fall-line sections. This is a newly built but Cariboo ""Old School"" style downhill trail. Some riders will prefer to ride this trail with a downhill bike but it is also suitable for all mountain/enduro long travel bikes especially for those riders looking to climb back up the mountain to the fire lookout tower using the new climbing trail that is currently under construction which parallels the lookout access road.   The trail is about 3.4 km in length with an elevation loss of about 750 meters from top to bottom and average grade of -21.3%.",51.306297,-121.950675
FACE PASKA ORV,RTR - Recreation Trail,Y,20211027,,LOGAN LAKE,"",50.503122,-120.761016
NAHWITTI LAKE,SIT - Recreation Site,N,,,PORT HARDY,A site amongst large balsam and hemlock trees with trail access to the lake.,50.704929,-127.865957
LILY LAKE,SIT - Recreation Site,N,,,MERRITT,"The semi-open recreation site is popular for camping fishing canoeing and nature viewing but can also be a popular place for youth during grad times. The campsite is suitable for smaller trailers. truck campers and tenters who own vehicles that are high centred as the last few kilometres of the road is very rough. ",50.02972,-120.939087
BABY MUNDAY,RTR - Recreation Trail,N,,,CHILLIWACK RIVER VALLEY,If you are looking for a bit more of a challenge this may be it. This 11.0 km trail leads you to two summits; the South summit is a steeper more exposed and technical climb than the slightly lower North summit. Either path leads to a spectacular hike within incredible alpine wilderness where picturesque tarns and small lakes can be found.  For the avid rock climber several peaks can be climbed; Knight Peak (intermediate hike) Baby Munday North Peak (moderate scramble) and Stewart Peak (moderate scramble).  It is best to plan an overnight hike to gain the most of your time on this outdoor playground and to thoroughly take advantage of the breathtaking alpine forest and scenic mountain views in the horizon.,49.136981,-121.612037
Harris Creek Spruce,SIT - Recreation Site,N,,,PORT RENFREW,A short trail that leads to a giant Sitka Spruce which is about 4m (13ft) in diameter.,48.660251,-124.225278
SHESTA LAKE,SIT - Recreation Site,N,,,PRINCE GEORGE,This popular small open environment site is nestled next to the lake. There is a camping area for tents and small RVs but is not suitable for large units. The site provides the basic amenities of tables fire rings and a pit toilet. This site is located only 6km off the paved road.,53.633922,-122.98961
RAM-WIGWAM CREEK,SIT - Recreation Site,N,,,FERNIE,"A small partially treed site on the Wigwam River.",49.182112,-114.957413
10 K SNOWMOBILE PARKING LOT,SIT - Recreation Site,N,,,MERRITT,A 1 hectare gravel parking lot located at 10.2 km of the Tulameen Forest Service Road. Managed in partnership with the Coquihalla Summit Snowmobile Club this parking lot can be used by sledders who generally access the Coquihalla Mountain area near where the 10 k Cabin is located.  The parking lot may be ploughed some winter seasons while other seasons it will not be ploughed depending upon whether the industrial road is being used and machinary can then access the lot for ploughing.  Best to check the club website for more details at Coqsnow.com,49.576382,-120.972665
Big Kahuna-White Knuckles-No Girlie Man-S**t happens,RTR - Recreation Trail,N,,,WHISTLER,,50.161749,-122.934842
Boer Mountain,SIT - Recreation Site,N,,,BURNS LAKE,A large recreation area designated with emphasis on mountain biking and hiking.   The parking area is at Kager Lake (see Kager Lake Recreation Site - within the larger Boer Mtn Site) where a hiking/biking trail circles the lake.  There is a large deck/dock on the northshore of Kager Lake adjacent to the parking area. 12 campsites (3 at parking area and 9 walk-in) surround Kager Lake.  Connecting to the Kager Lake trail is the Long Lake hiking trail.   Biking trails connect Kager Lake and the Burns Lake Bike Park (private land) to the west (which has its own parking area and posted maps).  At the top of Boer Mtn. (via Boer Mtn. Road) are trailheads for Star Lake (hiking) and the Boer Mtn mountain bike trails.  Biking trails 4 options: 3 single track trails or 1 'jump-track' doubletrack; all travelling between 3 to 5 kilometers down to Kager Lake.,54.255248,-125.680381
LOON LAKE,SIT - Recreation Site,N,,,FERNIE,"A large partially treed site on the south and west sides of Loon Lake. Fees apply for camping and an operator is present on site. This site is busy in the summer. Electric motors only on the lake.This is a fee for service site.",49.114155,-115.110557
KENYON LAKE,SIT - Recreation Site,N,,,MISSION,A small site on a sub-alpine lake that is suitable for canoes or small boats.  The small island on the lake is suitable for overnight camping.  The road to Kenyon Lake is no longer accessible by vehicles as of Aug 27 2021,49.402701,-122.24191
BITTERN LAKE,SIT - Recreation Site,N,,,PARSON,"A small Recreation Site with two open campsite at a tranquil lake.",50.979243,-116.599549
VEDDER MOUNTAIN,RTR - Recreation Trail,N,,,CHILLIWACK RIVER VALLEY,"The Vedder Mountain Trail is within the Vedder Interpretative Forest. Enjoy this 11 km hike through a pleasant forest with Vedder Mtn. at its center with an elevation of 924 m / 3031 ft.Along the trail you will come across marshy areas ponds and creeks. Upon reaching the summit you will enjoy excellent views of Chilliwack and the surrounding vallies with Cultus Lake to the East Greendale Valley to the North and a view of Sumas Mtn. lying to the Northwest.",49.064413,-122.011412
Mt Trudeau Trail (Ski Hill Mountain),RTR - Recreation Trail,N,,,VALEMOUNT,Short 3.2 km hiking trail into first lake at base of Mount Pierre Elliot Trudeau with an elevation of 2650 m / 8694 ft. Trekking opportunities beyond here for seasoned hikers provides great views.,52.833945,-119.385948
KEYNTON LAKE,SIT - Recreation Site,Y,20220324,,HAZELTON,Also known as Bell Lake this beautiful semi-open forested campground sits on a small lake with a rustic dock.  Six campsites are provided. Popular with anglers looking for pan-sized cutthroat trout in spring and fall as well as hunters in the fall. Bird watchers will find this a great place to visit.,55.20443,-127.766993
Wonderland,RTR - Recreation Trail,N,,,SQUAMISH,This forested mountain bike trail is next to HWY 99 near Alice Lake Park. The trail starts near the entrance of Alice Lake. It can be wet and muddy in sections. A nice easy route very popular.,49.78905,-123.131383
Brohm Lake Day Use,SIT - Recreation Site,N,,,SQUAMISH,Day use site with 11 km of trail around the lake; the shoreline is mainly large rock outcrops a unique place to sun tan swim and hike. There are 2 parking lots-one for hikers at the South end and one for access to the lake at the North end.  Very popular for fishing. Parking lot fills up quick on a hot day. Dogs must be leashed.,49.819763,-123.133454
Tyee Mountain Trails,SIT - Recreation Site,N,,,SMITHERS,"There are over 30 kms of trails on and around Tyee Mountain in the McDowell Lake area that can be explored by foot ski bike or snowshoe. Check the website for updated conditions or notices. Trail fees apply.www.tyeemountaintrails.com",54.724803,-126.945762
Ripple Ridge Trail,RTR - Recreation Trail,N,,,SALMO,The Trail access Lighting Strike peak with an elevation of 2182m 7158 ft. With an elevation gain/loss 477m. With great views of the surrounding mountains and Twin Lakes below.,49.057036,-117.041117
GLORIA ELK THURSTON,RTR - Recreation Trail,N,,,CHILLIWACK RIVER VALLEY,When venturing along this 8 km trail you will enjoy a steady hike under the cover of the forest for the first half. Once out of the forest you will encounter a lookout point with stunning views of the Fraser Valley. Within the next 10 minutes of hiking you will find yourself on the mountains ridge which is covered with blooming flowers and wild strawberries during the summer months. The view from the ridge is spectacular as you will be able to see the mountain range to the south including Mts. MacGuire Border Peaks Mt. Slesse and Mt. Baker.,49.104857,-121.820658
NITINAT LAKE,SIT - Recreation Site,N,,,NITINAHT,"UPDATE FOR MAY 13 2019. The Ditidaht First Nation now manages this campsite. For more info on fees and facilities visit their website nitinahtcampground.com.",48.805093,-124.678585
LILLIAN LAKE,SIT - Recreation Site,Y,20220411,,INVERMERE,"A small pleasant treed day-use area; dock; electric motors only; adjacent to a paved road.Trailhead for Johnson Recreation Trail.   Parking adjacent to roadway.  Trailhead is located across the road from the picnic site.  ",50.503318,-116.097828
HOME LAKE TRAILS,RTR - Recreation Trail,N,,,VANDERHOOF,A six km trail leading to a small A-frame cabin on the West end of Home Lake.  Cabin is available for public use on a first come basis for a maximum stay of 2 nights. Users must sign the book at the trailhead Portions of the trail are quite wet and muddy.,53.721281,-124.339505
KIAKHO LAKE TRAIL,RTR - Recreation Trail,N,,,CRANBROOK,"Approximately 1.35km to Kiakho Lakes.",49.479423,-115.897763
GUN CREEK,SIT - Recreation Site,N,,,GOLDBRIDGE,"Located at the confluence of Gun Creek and Carpenter Lake the recreation site provides camping opportunities and some beach activities and is a good spot to use as a base for exploring the area. Boating and swimming is not recommended due to the flucuating water levels of the man made Carpenter Lake.  The adjacent Gun Creek also runs very swiftly during high water times. The campsite is maintained under authorization with BC Hydro.",50.894145,-122.773138
CAMP CREEK TRAILS,SIT - Recreation Site,N,,,VALEMOUNT,System of cross country ski trails.,52.74002,-119.238246
LOST HORSE LAKE,SIT - Recreation Site,N,,,LITTLE FORT,"ALL DOGS MUST BE ON A LEASH AT ALL TIMES (for all Kamloops Recreation Sites). No reserving or holding of campsites all sites are first come first serve.Lost Horse Lake Recreation site is used mainly for fishing activities.",51.574102,-120.410064
Tunnel Vision,RTR - Recreation Trail,N,,,WHISTLER,,50.086786,-123.002949
BIG TREE TRAIL & PICNIC,SIT - Recreation Site,N,,,SECHELT,A day-use area of trails under some impressive old-growth fir.,49.501308,-123.83092
WAKEFIELD TRAIL,RTR - Recreation Trail,N,,,SILVERTON,"The Wakefield Trail is an interesting alternate route to Idaho Peak. Switchbacking up from the Wakefield Minesite in Silverton Creek to the Idaho Peak parking lot one is literally walking in the footsteps of the old miners who used this pack trail to get to their mines on Silver Ridge. A sharp eye will find old shoes tools bottles and other remnants from miners who toiled their way up and down this trail in search of fortunes.The lower portions of the trail climb through semi-open forests of cedar hemlock white pine lodgepole pine fir and birch which offer the promise of good mushrooming in the fall. As the trail climbs it emerges from the forest crossing steep avalanche paths richly coloured with wild flowers. Old mine tailings and ruins of mine buildings are passed as the trail winds its way steeply upwards. As you cross the upper slopes panoramic views of the Valhallas and the peaks of Kokanee Glacier Park dominate the landscape.",49.942394,-117.300156
STAMP RIVER TRAIL,SIT - Recreation Site,N,,,PORT ALBERNI,Nice fisherman's trail along the West side of the Stamp River. Access is through the Greenmax woodlot. Hence the local name Greenmax Trail.,49.317282,-124.901663
ELBOW LAKE,SIT - Recreation Site,Y,20140509,,ENDERBY,This is a small timbered site on a shallow lake. There are no boat launching facilities and the access is slow and rough.,50.640411,-118.804951
DEWDNEY HISTORIC TRAIL,RTR - Recreation Trail,Y,20210813,,PRINCETON,A historic trail that has been improved and cleared of deadfall over the past five years. Remaining section of the original Dewdney Trail (720 kms) that connected the southern part of the colony during the gold rush to Wild Horse Creek in the 1860s.This portion is 13 km in length and links with a short  3.7 km section to the west and then connects to a 26 km section that heads into E.C. Manning Park. The entire length is 43 kilometers from where it starts at the Cascade parking area on Hwy # 3  in Manning Park.  A non-motorized trail used by hikers and horseback riders. Sections of this trail have been impacted by Mountain Pine beetle harvesting and road building in the Granite Creek area. Watch for signage when crossing and following short sections of road.,49.279569,-120.719122
KITSEGUECLA LAKE,SIT - Recreation Site,N,,,SMITHERS,A semi-open recreation site on a popular fishing lake. Access may be prohibitive to larger RVs and trailers due to a steep access road.   This site has a large parking area boat launch and dock. 6 campsites ideal for tenting.   Spectacular views of the Rocky Ridge Mountain Range from the north end of the lake.,54.939845,-127.555054
Sugar Mountain Lookout,SIT - Recreation Site,N,,,CHERRYVILLE,,50.442321,-118.391557
BAIRD LAKE,SIT - Recreation Site,N,,,ENDERBY,This small forested site is ideal for small cartop boats and canoes.,50.570963,-118.793694
DAVIS LAKE,SIT - Recreation Site,N,,,MERRITT,CASH ONLY SITE Located in the Voght Valley south of Merritt this semi-open large recreation site is a very popular destination for camping fishing and boating. The site is RV accessible and will accommodate rigs of any size. There are 2 boat launches located on the lake and three docks to tie your boats to or to fish from. Horse shoe pits as well and an ATV trail nearby.  If you have specific questions regarding the site please email the site operator at: going4la_fishing@hotmail.com,49.86221,-120.72909
Anderson Beach,SIT - Recreation Site,N,,,SQUAMISH,"Anderson Beach is a day use only site no camping is allowed due to the ongoing issue of unmanaged wildlife attractants which contributed to the fatality of a young Grizzly Bear in 2014. The area is prone to flooding so the installation of infrastructure is not feasible.  Anyone found at Anderson Beach after 11pm will be fined and/or towed. It is an offence under the Recreation Regulations and the Freshwater Protection Act to drive a motorized vehicle in our around a river or fish bearing stream.  No vehicles allowed to Anderson Beach. Always park and walk to the beach! Thank you for your cooperation.This is a very large sandy beach on the Squamish River. This site has no infrastructure and is for day use only. No overnight use is permitted. Always be bear aware and never leave food or garbage unattended. Please pack out all that you bring with you this is a very important area for salmon elk and grizzly bears. Please respect the environment.No motorized vehicles are allowed to enter the area past the parking lot at the end of Magee road.",49.884283,-123.270605
Rocky Point,SIT - Recreation Site,N,,,MISSION,"Enjoy this beautiful constructed site adjacent to the foreshore of Stave Lake located within Mission TFL. This site offers incredible lake views of the Stave reservoir which may fluctuate from the high water mark to as much as 300 meters of exposed foreshore.   This site was designed for a range of sizes such as truck and camper units tent camping or larger RV's. There are 30 campsites including a group sites to accommodate larger gatherings.This site is operated by Greenshades Enterprise. This site accepts reservations. This is a CASH ONLY site and has on-site supervision. For reservations additional information and updates please visit www.stavewestcamping.com/ All visitors are required to exit the site by 10:30 pm as gates are locked at 11:00 pm and will remain closed until 7:00 am.  This site has on-site supervision.",49.310717,-122.321591
Char Creek,RTR - Recreation Trail,N,,,CRESTON,The Char Creek Interpretive Forest also known as the Ka Papa Cedars Trail is an easy loop just off Highway 3. It strolls through an Old Growth forest full of  massive ancient cedars and a lush forest floor. Its a fantastic way to stretch your legs while driving along the Kootenay Pass. The 2 km loop can either be accessed directly off the highway or from the Char Creek FSR.,49.095952,-116.965247
MAYSON LAKE NORTH,SIT - Recreation Site,N,,,BARRIERE,"ALL DOGS MUST BE ON A LEASH AT ALL TIMES (for all Kamloops Recreation Sites). No reserving or holding of campsites all sites are first come first serve.Also known as the ""horse camp"" this site is used by horseback riders to camp and ride in the area.",51.226869,-120.391655
CHUTANLI LAKE,SIT - Recreation Site,N,,,VANDERHOOF,Site located on south shore of Chutanli Lake which is stocked with Rainbow Trout.,53.352351,-124.478021
SHASS MTN TRAIL,RTR - Recreation Trail,N,,,FORT ST. JAMES,A beautiful but strenuous 9.4 km hike up Shass Mountain from Grassham Lake.  Trail starts off gradual from the lake but becomes steep as you climb the mountain.  Trailhead access is by boat only from the Grassham Lake Recreation Site.,54.501728,-124.855699
A.M.H.T. Parking,RR - Recreation Reserve,N,,,QUESNEL,"This site provides parking for the Alexander Mackenzie Heritage Trail at trail Km ""31"". Camping is available at 1.5kms down the road at the Blackwater River Crossing recreation site.",53.302535,-123.13936
RADIUM WETLANDS,SIT - Recreation Site,N,,,INVERMERE,A day use site with parking and no facilities. The site provides a panoramic vista over the Columbia Valley and wetlands.,50.634558,-116.114196
CHAIN LAKE WEST,SIT - Recreation Site,N,,,PRINCETON,"Found in a semi-open area next to the lake this popular and busy recreation site is easily accessed with moderate to large RV units. The site is used mainly by campers and fishermen but the nearby Kettle Valley Railway is a popular destination for hiking and mountain biking enthusiasts too. There are two smaller but functional boat launches.",49.695525,-120.280982
Eldred River,SIT - Recreation Site,N,,,POWELL RIVER,The Eldred River Campground is also known as The Colin Arthur Dionne (CAD) Memorial Climbers Camp in his honour.  The Eldred River Campsite site has been built by local rock climbers as a central base camp for climbers exploring the majestic walls of the Eldred Valley.   Please respect the local's love and dedication to this campsite and help keep the site pristine by practicing clean camping.,50.141272,-124.214315
COPPER CREEK,SIT - Recreation Site,Y,20211115,,PRINCETON,"A great picnic rest or camping spot at the junction of the Paysaten River and Copper Creek.  Nestled next to the river this site has 5 level camping areas. Also a great spot to stop and rest for a while when travelling along Highway 3. Suitable for large camping units.",49.190507,-120.556971
Barneys Gulch / Sluice Box Trail,RTR - Recreation Trail,N,,,STEWART,A short moderate hike that follows the original railway bed leading out of Stewart and then turns right climbing up along the historic sluice box. After approx. 1 km. the trail splits to the right leads to a viewpoint overlooking the town of Stewart and the Portland Canal. To the left the trail climbs up along the gulch passing more pen stock piping to a waterfall above the gulch.,55.953679,-129.968766
Hadow Creek,SIT - Recreation Site,N,,,NAKUSP,This is a beautiful campsite right at the mouth of Hadow Creek. There are six campsites suitable for tenting or small RV�s . Great opportunities for camping fishing and boating are available here. This recreation site was constructed in partnership with BC Timber Sales with special thanks to Galena Contractors LTD.,50.744941,-117.797172
YANKS PEAK TRAILHEAD,SIT - Recreation Site,N,,,LIKELY,"This is the main trailhead for access to the Yanks Peak Snowmobile Trail.Mid sized parking area for snowmobile trailerspit toilets and information signage are located here for winter operationsNote: Motorized vehicle restrictions are in effect for Yanks Peak every year from June 1 to Oct. 15. Motorized vehicle access during this time is only permitted via a single designated trail: the Yanks Peak Trail. All motorized vehicles must remain on this trail at all times. The Yanks Peak Snowmobile Cabin and Roundtop Mountain are not accessible by motorized vehicles from June 1 to Oct. 15. (please refer to map link below)",52.763037,-121.400056
SNAKING RIVER,SIT - Recreation Site,N,,,NAZKO,Small open site along the river great base camp for exploring the Nazko area.,53.066252,-123.553969
Smith Creek,RTR - Recreation Trail,N,,,WEST KELOWNA,Smith Creek is a very popular network of mountain biking trails in West Kelowna with trails for all levels of ability. It is managed in partnership with the West Kelowna Trail Crew Society.,49.855533,-119.661899
Longworth Hiking Trail & Lookout Cabin,RTR - Recreation Trail,N,,,PRINCE GEORGE,Access to Longworth Fire Lookout,53.9248,-121.459595
Callaghan Ski Trails,RTR - Recreation Trail,N,,,WHISTLER,These trails are maintained and run by Callaghan Country Wilderness Adventures Ltd. For more details on the trail conditions and trail pass sales visit their website.  http://www.skicallaghan.ca/,50.139431,-123.133432
NOEL LAKE,RR - Recreation Reserve,N,,,Goldbridge,A small walk in site with two tables outhouse and boardwalk adjacent to Noel Lake. Great for a picnic site or privacy. Nice views of the cliffs to the east and good for birdwatching etc.,50.811132,-122.797059
Big Eddy,SIT - Recreation Site,N,,,REVELSTOKE,"A bouldering area next to the big eddy of the Columbia River. A beautiful spot for a picnic on the rocks near the water as well as a local bouldering location.No overnight use.For more information on climbing the established routes and how to get involved visit www.revelstokeclimbers.org",51.004507,-118.239281
SWANSEA SLOPES,RTR - Recreation Trail,N,,,INVERMERE,"There are various levels of trails available on Swansea Mountain for hikers and cyclists.  SWANSEA LOOKOUT TRAIL Hiking distance: 700m Elevation gain: 105mThis short switchbacked trail leads from roads end(700 m)from the top parking area to the summit of Mount Swansea.  Exilirating panoramic views of the Columbia Valley 1000 metres below. SWANSEA SLOPES TRAILHiking distance: 10.3 kmElevation gain: 745+ metresA loop trail can be travelled by energetic hikers from the mountain base to summit and back down via a second south summit.  The new  uptrack trail for cyclists doubles as a hiking trail.  TOWER LOOP VIEWPOINT A short 1.5 km mid mountain loop trail presents vast valley views.  Park at the 2km parking lot and enjoy the loop trail back to your vehicle.  UPHILL CYCLING and hiking An uptrack affords lesser grades that can be cycled uphill or hiked either up or downhill.  CYCLING TRAILS Mt. Swansea offers more difficult (blue) level and more difficult (black) level terrain for riders. Plenty of challenges await on the seven DH trails including the steep descents of the Booty Call trail the rocky sandy slopes of Gravy Train and plenty of wide open fun on Hula Girl. Body armour is recommended on all Mt. Swansea trails. PARKING OPTIONS: 1 -  mountain base 2 - at the 2km mark for real early season trail access and 3 - 5km parking area near the summit.No overnight camping is permitted in the area.HISTORY In the early 1900's copper was mined on a claim near the present day upper parking area.  In 1924 Mt. Swansea was established as a BC Forest Service fire lookout(1952 to 1992).The mountain is internationally known as a premier hang gliding and paragliding launch. The first pilot to launch from the mountain was Harley Portman in the early 1970's. For safety reasons please keep clear of the launch ramps.",50.482921,-115.950919
RIVERSIDE,SIT - Recreation Site,N,,,CHILLIWACK,"This small 14 site jewel is extremely beautiful as is situated along a small tributary to the Chilliwack River.  The site is popular with hikers and has access to the Trans Canada and other very popular local trails.  This is a CASH ONLY site. For reservations additional information and updates please visit www.chilliwackvalleycampsites.ca. or email thurstonmeadows@yahoo.ca or call 604-824-0576.   NOTE � All visitors are required to exit the site by 10:30 PM as gates are locked at 11:00 PM and will remain closed until 7:00 AM. This site has on-site supervision during the camping season.",49.094593,-121.583864
SCHRAEDER LAKE,SIT - Recreation Site,N,,,LILLOOET,This remote recreation site with 2 campsites is a good location for a quiet and remote camping experience. Suitable for larger sized rigs but due to the distance to get there mostly truck campers and tenters are found there.,51.216367,-122.31049
KETTLE RIVER,SIT - Recreation Site,N,,,CHERRYVILLE,This site is along the Kettle River. It is a flat open site good for group camping. Kettle River is closed to fishing July 25 to August 25 bait ban April 1 to October 31 and rainbow trout release year round.,49.953068,-118.679764
FIR FLAT,SIT - Recreation Site,Y,20211115,,BOSTON BAR,"Closed due to Wildfire Activity as of July 23 2021 until further notice. A small campsite located along the Nahatlatch River.  The site is located in the Nahatlatch River Valley and is popular with anglers boaters hikers and hunters.  This site is on a first-come first-served basis reservations will not be taken.  This is a CASH ONLY site.  As this site does not sell firewood campers are encouraged to bring their own.NOTE: This site is open year round unless un-accessible due to snow levels.For other great information on this site please visit the agreement holder's website: www.riversedgecabins.com/fir_flats.html",50.001775,-121.56699
Mountain Shadows,RTR - Recreation Trail,N,,,GOLDEN,"Fast and technical cross-country mountain biking.  Great climbs and descents! For more riding information visit goldencyclingclub.com",51.285561,-116.936663
Eureka Lookout,SIT - Recreation Site,N,,,CHERRYVILLE,The Eureka lookout sits at an elevation of 6500 ft. A horse trail was built to the site in 1930 and the road was completed in 1953. The building was constructed in 1957 in order to aid wildfire operations in the area. Firefighters would often reside in these lookouts for weeks at a time and report any new fires that they could see. Eureka can be accessed only by hiking off road vehicles and snowmobile. Don't forget to sign the guestbook if you pay it a visit. This is a user maintained site so please pack out what you pack in and help keep the lookout in good shape for others to enjoy.,50.077847,-118.3806
GOOSE LAKE,SIT - Recreation Site,N,,,LITTLE FORT,"ALL DOGS MUST BE ON A LEASH AT ALL TIMES (for all Kamloops Recreation Sites).No reserving or holding of campsites all sites are first come first serve. Goose Lake recreation site is a small rustic site easily accessed from Highway 24. It is located in an open area on the north end of Goose Lake. There is one pit toilet and a number of campsites both along the shoreline and set back from the water. There is also a small car-top boat launch. This site makes a great alternative to nearby Latremouille Lake recreation site or as a base camp to explore and fish nearby lakes located along Highway 24.",51.502905,-120.35956
BURNT CREEK TRAIL,RTR - Recreation Trail,N,,,TATLA LAKE,The Burnt Creek Trail follows a fairly narrow canyon as it meanders up the Burnt Creek drainage climbing steadily through mature Douglas-fir initially and then the forest cover transitions to a mix of lodgepole pine Engleman spruce and subalpine fir.  Whitebark pine is also present at higher elevations. The mapped portion of the trail is about 7.6 km in length but as with many of the trails in this region it is possible to explore additional terrain once you reach the alpine allowing for multi-day adventures for those with significant backcountry experience.  The trail offers spectacular views along its entire length gradually exposing more of the Mosley Creek drainage as one ascends. A small primitive campsite with no facilities is located about 4.3 km up the trail at a point where the trail crosses Burnt Creek. Higher up the trail lush alpine slopes open up as the creek forks into smaller tributaries. The trail takes about 3 to 5 hours to reach the top. Due to the moderately difficult and remote terrain and the need for some route-finding once in the subalpine where the route becomes less obvious this trail is recommended only for those with significant backcountry hiking experience.,51.710208,-124.815161
LASSIE LAKE,SIT - Recreation Site,N,,,WESTBRIDGE,Lassie Lake is an attractive medium-sized lake with a weedy shallow shoreline with a few tiny coarse sand beaches.  As you first enter the campsite you will find a gravelled boat launch straight ahead of you.  The first campsite is located to the right of the boat launch and the remainder lie further along the access road.  The campsites are located in a medium-aged forest with huge veteran larches towering above.  This site is very popular and full to capacity for most of the summer and is also popular with hunters in the fall.,49.593192,-118.915042
MT. RENSHAW ALPINE,SIT - Recreation Site,N,,,MCBRIDE,Popular alpine snowmobiling area.,53.471448,-119.969937
CAVEN/GOLD CREEK,SIT - Recreation Site,N,,,CRANBROOK,"This is a small site situated at the confluence of Caven and Gold Creeks. The site is heavily shaded by mature spruce and fir forests and is right on the creek bank.  Although it is close to the main road the heavily treed site is given a feeling of seclusion. There is abundant understory vegetation which creates a lush green environment.",49.190408,-115.417666
BOB'S LAKE,SIT - Recreation Site,N,,,MERRITT,"This is a small treeless recreation site located beside the northwest shore of the lake which provides opportunities for fishing hunting and camping at Bobs Lake. Other nearby recreation sites easily accessible include Elkhart Paradise and Island Lakes.",49.919986,-120.303356
RICHMOND LAKE TRAIL,RTR - Recreation Trail,N,,,CRANBROOK,"The trail to Richmond Lake is a short hike with some steep sections.  It is suitable for energetic families.  If it is wet care should be taken crossing the open rock slopes along the trail.  Huckleberry pickers will enjoy this walk in the fall.  Steep slopes with rock bands and waterfalls a wildflower meadow near thissubalpine lake and trout fishing offer something for everyone.  More adventurous hikers with route finding skills can continue over Nogalski Peak to Perry Pass and Gold Run Lake.",49.414542,-116.170325
WHITEWOOD LAKE,SIT - Recreation Site,N,,,BARRIERE,"ALL DOGS MUST BE ON A LEASH AT ALL TIMES (for all Kamloops Recreation Sites). No reserving or holding of campsites all sites are first come first serve.Adjacent to Jamieson Creek Road on Whitewood Lake. The recreation site is a popular camping and fishing spot.",51.098185,-120.344769
